Student_ID,Department,Gender,Attendance_Percent,Study_Hours_Per_Day,Assignment_Score,Internal_Mark,Previous_Semester_Mark,Final_Mark,Performance_Level
STU0001,Information Technology,Male,82.0,4.1,78.0,82.4,74.0,79.7,High
STU0002,Computer Science,Female,71.5,2.8,68.0,69.0,65.0,62.4,Medium
STU0003,ECE,Male,91.0,5.2,84.0,94.0,82.0,92.1,High
STU0004,EEE,Female,58.0,1.6,55.0,53.0,60.0,45.7,Low
STU0005,Information Technology,Female,76.5,3.4,73.0,75.0,70.0,71.8,Medium
STU0006,Computer Science,Male,88.0,4.6,81.0,88.2,79.0,87.6,High
STU0007,ECE,Female,69.0,2.4,64.0,65.0,61.0,55.1,Medium
STU0008,EEE,Male,94.0,6.0,91.0,100.0,88.0,99.0,High
STU0009,Information Technology,Male,63.0,2.1,59.0,59.0,57.0,49.8,Low
STU0010,Computer Science,Female,80.0,3.9,76.0,80.0,73.0,78.1,High
